

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1    1  69.550

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -38275.02755 75.81 75.98
  2 -38275.02755 -17393.14627 74.63 74.82
  3 -17393.14627 -16528.69041 73.15 72.92
  4 -16528.69041 -16050.09992 72.27 72.18
  5 -16050.09992 -15800.79060 72.21 72.15
  6 -15800.79060 -15668.63163 72.45 72.25
  7 -15668.63163 -15596.49557 72.39 72.23
  8 -15596.49557 -15564.12474 72.30 72.07
  9 -15564.12474 -15547.70591 72.29 72.13
 10 -15547.70591 -15540.28652 72.25 72.17
 11 -15540.28652 -15536.62520 72.20 72.07
 12 -15536.62520 -15534.63211 72.23 72.02
 13 -15534.63211 -15533.14293 72.22 72.10

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1    2  72.100

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf -13697.77970 74.36 73.93
  2 -13697.77970 -6079.92293 75.16 75.38
  3 -6079.92293 -5327.18048 74.84 75.03
  4 -5327.18048 -4993.48972 74.49 74.45
  5 -4993.48972 -4810.74728 74.58 74.42
  6 -4810.74728 -4697.86259 74.62 74.38
  7 -4697.86259 -4623.48249 74.62 74.63
  8 -4623.48249 -4573.59770 74.80 75.07
  9 -4573.59770 -4539.97947 74.96 75.27
 10 -4539.97947 -4514.06834 74.92 75.15
 11 -4514.06834 -4491.95435 74.96 75.03
 12 -4491.95435 -4474.96787 74.85 75.53
 13 -4474.96787 -4461.22644 75.03 75.80
 14 -4461.22644 -4449.74670 75.10 75.77
 15 -4449.74670 -4440.22596 75.02 75.53
 16 -4440.22596 -4431.35527 74.98 75.45
 17 -4431.35527 -4424.23541 74.92 75.42
 18 -4424.23541 -4417.35855 74.84 75.25
 19 -4417.35855 -4410.30250 74.73 75.18
 20 -4410.30250 -4402.89950 74.81 75.18
 21 -4402.89950 -4396.29285 74.78 74.98
